aadhaar_like_id,household_id,annual_income,scheme_enrolled,district,bank_account,phone_number,registrations_per_aadhaar,bank_shared_count,phone_shared_count,fraud_label
104332181960,HH54597,84901,MGNREGA,District_10,BA01338908,7863794026,1,1,1,0
351161559407,HH69429,65852,MGNREGA,District_11,BA81618495,7103413164,1,1,1,0
553419283276,HH28726,89430,MGNREGA,District_9,BA48350305,9413953767,1,7,1,1
388496965328,HH99353,115690,Food-Ration,District_49,BA71012269,6669784801,1,1,1,0
451462704828,HH41571,62975,Food-Ration,District_6,BA14893252,6957015430,1,1,1,0
171822782489,HH87128,62975,Scholarship,District_1,BA63834657,9133150983,1,1,1,0
103105183473,HH17944,117376,PM-KISAN,District_47,BA82997376,7116566701,1,1,1,0
513338726247,HH59672,93023,Pension,District_25,BA31781080,6326773602,1,1,1,0
474687234309,HH25713,55915,Food-Ration,District_16,BA80500978,7081219136,1,7,1,1
990916998543,HH44760,86276,Scholarship,District_23,BA53462475,6079911838,1,1,1,0
135427849808,HH16658,56097,Pension,District_41,BA41241182,8493534874,1,1,1,0
640052427868,HH97416,56028,Pension,District_23,BA01128059,9422358320,1,1,14,1
869232260256,HH46517,77258,Pension,District_50,BA34216073,7754330365,1,1,1,0
458685014294,HH97900,12601,Scholarship,District_24,BA60790059,6693406088,1,7,1,1
615951484656,HH95813,18252,MGNREGA,District_30,BA48236629,8680443699,1,1,1,0
773872148951,HH41979,53131,Scholarship,District_42,BA34332003,9917693676,1,1,1,0
016328708317,HH73517,39615,Scholarship,District_18,BA27889579,9872774348,3,1,1,1
714345581223,HH72518,275407,Pension,District_23,BA62316658,9603669096,1,1,1,1
466889373467,HH16590,42759,MGNREGA,District_25,BA06562729,8569896229,1,1,11,1
537556464170,HH70952,27630,MGNREGA,District_50,BA80531003,7092327193,1,1,1,0
529912419049,HH11658,113969,PM-KISAN,District_32,BA66319314,6905865185,1,1,1,0
165726284987,HH33834,63226,PM-KISAN,District_14,BA76945314,9379965075,1,1,1,0
545494808313,HH79588,72025,MGNREGA,District_28,BA67837770,6436349578,1,1,1,0
